क्र.सं.,जिल्ला,प्रतिनिधि सभा निर्वाचन क्षेत्र,राजनीतिक दल / स्वतन्त्र,उम्मेदवारको नाम,उमेर,लिङ्ग
1,ताप्लेजुङ,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),क्षितिज थेबे,38,पुरुष
2,ताप्लेजुङ,1,नेपाली काँग्रेस,गजेन्द्र प्रसाद तुम्याङ लिम्बु,46,पुरुष
3,ताप्लेजुङ,1,राष्ट्रिय प्रजातन्त्र पार्टी,ईन्द्र प्रसाद थापा,63,पुरुष
4,ताप्लेजुङ,1,मंगोल नेशनल अर्गनाइजेसन,सन्त बहादुर लिम्बु,57,पुरुष
5,ताप्लेजुङ,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,"मुकसाम लाबुङ, लिम्बु",44,पुरुष
6,ताप्लेजुङ,1,"जनता समाजवादी पार्टी, नेपाल",सूर्य गुरुङ,66,पुरुष
7,ताप्लेजुङ,1,राष्ट्रिय स्वतन्त्र पार्टी,बिरेन्द्र श्रेष्ठ,55,पुरुष
8,ताप्लेजुङ,1,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),अरुन सुब्बा (लेछर्वो),48,पुरुष
9,ताप्लेजुङ,1,नेपाली कम्युनिष्ट पार्टी,खेल प्रसाद बुडाक्षेत्री,50,पुरुष
10,ताप्लेजुङ,1,नेपाल जनमुक्ति पार्टी,इन्द्र कुमार लिम्बू,48,पुरुष
11,ताप्लेजुङ,1,श्रम संस्कृति पार्टी,सन्तोष राई,49,पुरुष
12,ताप्लेजुङ,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),नरपती पौडेल,61,पुरुष
13,ताप्लेजुङ,1,उज्यालो नेपाल पार्टी,किर्ती मान मादेन,65,पुरुष
14,पाँचथर,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),अइन्द्र सुन्दर नेम्वाङ,48,पुरुष
15,पाँचथर,1,नेपाली काँग्रेस,नरेन्द्र कुमार केरुङ,53,पुरुष
16,पाँचथर,1,राष्ट्रिय प्रजातन्त्र पार्टी,तेज कुमार कुरुम्वाङ्ग,62,पुरुष
17,पाँचथर,1,नेपाल मजदुर किसान पार्टी,लक्षुमान तामाङ,40,पुरुष
18,पाँचथर,1,मंगोल नेशनल अर्गनाइजेसन,राम कुमार तुम्रोक,47,पुरुष
19,पाँचथर,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,भानु भक्त फियाक,50,पुरुष
20,पाँचथर,1,"जनता समाजवादी पार्टी, नेपाल",मचिन्द्र प्रसाद बेघा,69,पुरुष
21,पाँचथर,1,राष्ट्रिय स्वतन्त्र पार्टी,महेन्द्र विक्रम थाम्सुहाङ,57,पुरुष
22,पाँचथर,1,नेपाली कम्युनिष्ट पार्टी,हर्क बहादुर नेम्बाङ,45,पुरुष
23,पाँचथर,1,प्रगतिशील लोकतान्त्रिक पार्टी,प्रकाश काफ्ले,38,पुरुष
24,पाँचथर,1,नेपाल जनमुक्ति पार्टी,नरेन्द्र प्रसाद कुरुम्‍वाङ,68,पुरुष
25,पाँचथर,1,राष्ट्रिय परिवर्तन पार्टी,टेकबहादुर सुब्बा,42,पुरुष
26,पाँचथर,1,श्रम संस्कृति पार्टी,हस्त राज शेर्मा,40,पुरुष
27,पाँचथर,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),विजय नेम्वाङ,43,पुरुष
28,पाँचथर,1,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),मित्र लिङदेन,52,पुरुष
29,इलाम,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),काजी मान कागते,64,पुरुष
30,इलाम,1,नेपाली काँग्रेस,निश्कल राई,35,पुरुष
31,इलाम,1,राष्ट्रिय प्रजातन्त्र पार्टी,ज्वाला नेपाल,35,महिला
32,इलाम,1,नेपाल मजदुर किसान पार्टी,तुल्सी केशरी प्रजापति (छुंजु),51,महिला
33,इलाम,1,मंगोल नेशनल अर्गनाइजेसन,बुद्ध लाल मेचे,55,पुरुष
34,इलाम,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,राम प्रसाद लिम्बू,63,पुरुष
35,इलाम,1,राष्ट्रिय स्वतन्त्र पार्टी,विमल गदाल,54,पुरुष
36,इलाम,1,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),लिला बहादुर सुनुवार,58,पुरुष
37,इलाम,1,नेपाली कम्युनिष्ट पार्टी,रन बहादुर राई,54,पुरुष
38,इलाम,1,नेपाल जनमुक्ति पार्टी,डम्बर सिंह लिम्बु,68,पुरुष
39,इलाम,1,श्रम संस्कृति पार्टी,विनोद नेम्बाङ्ग लिम्बु,37,पुरुष
40,इलाम,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),नारदमणी साङपाङ्ग,64,पुरुष
41,इलाम,1,उज्यालो नेपाल पार्टी,हरि बहादुर गुरुङ,45,पुरुष
42,इलाम,2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुहाङ नेम्बाङ,36,पुरुष
43,इलाम,2,नेपाली काँग्रेस,भेषराज आचार्य,61,पुरुष
44,इलाम,2,राष्ट्रिय प्रजातन्त्र पार्टी,गणेश प्रसाद दुलाल,64,पुरुष
45,इलाम,2,राष्ट्रिय जनमुक्ति पार्टी,पवित्रा लिम्बु तुम्वाङफे,51,महिला
46,इलाम,2,मंगोल नेशनल अर्गनाइजेसन,श्याम बहादुर लिम्वु,39,पुरुष
47,इलाम,2,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,सादर सिं लिङदेन (लिम्बु),49,पुरुष
48,इलाम,2,राष्ट्रिय स्वतन्त्र पार्टी,गोकुल बहादुर राई,32,पुरुष
49,इलाम,2,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),बल बहादुर आङदेम्बे,64,पुरुष
50,इलाम,2,नेपाली कम्युनिष्ट पार्टी,ओम बहादुर गुरुङ्ग,47,पुरुष
51,इलाम,2,नेपाल जनमुक्ति पार्टी,याम वहादुर लिम्बु,49,पुरुष
52,इलाम,2,राष्ट्रिय परिवर्तन पार्टी,दिवस राई,37,पुरुष
53,इलाम,2,श्रम संस्कृति पार्टी,सुदिप राई,37,पुरुष
54,इलाम,2,नेपाल कम्युनिस्ट पार्टी (माओवादी),होम प्रसाद खतिवडा,68,पुरुष
55,इलाम,2,स्वतन्त्र,डाक प्रसाद गौतम,58,पुरुष
56,झापा,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),रामचन्द्र उप्रेती,67,पुरुष
57,झापा,1,नेपाली काँग्रेस,केशव राज पाण्डे,54,पुरुष
58,झापा,1,राष्ट्रिय प्रजातन्त्र पार्टी,हेमराज कार्की,60,पुरुष
59,झापा,1,नेपाल मजदुर किसान पार्टी,हिरण्य प्रसाद भट्टराई,83,पुरुष
60,झापा,1,मंगोल नेशनल अर्गनाइजेसन,सन्तोष तामाङ्ग,42,पुरुष
61,झापा,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,मान बहादुर साँवा(लिम्बु),53,पुरुष
62,झापा,1,"जनता समाजवादी पार्टी, नेपाल",रमा मेचे,57,महिला
63,झापा,1,राष्ट्रिय सद्भावना पार्टी,ओलीन राजवंशी,60,पुरुष
64,झापा,1,राष्ट्रिय स्वतन्त्र पार्टी,निशा डाँगी,29,महिला
65,झापा,1,नेपाली कम्युनिष्ट पार्टी,अशेष घिमिरे,40,पुरुष
66,झापा,1,नेपाल जनमुक्ति पार्टी,खान्द्रु करुवा,61,पुरुष
67,झापा,1,श्रम संस्कृति पार्टी,केवलराम राई,48,पुरुष
68,झापा,1,उज्यालो नेपाल पार्टी,नरेश कुमार लावती,46,पुरुष
69,झापा,1,स्वतन्त्र,दुर्गा प्रसाद साँवा लिम्वु,40,पुरुष
70,झापा,1,स्वतन्त्र,गणेश कुमार खरेल,48,पुरुष
71,झापा,2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),देव राज घिमिरे,69,पुरुष
72,झापा,2,नेपाली काँग्रेस,सरिता प्रसाई,58,महिला
73,झापा,2,राष्ट्रिय प्रजातन्त्र पार्टी,भद्र प्रसाद नेपाल,50,पुरुष
74,झापा,2,नेपाल कम्युनिष्ट पार्टी (संयुक्त),श्रीप्रसाद सिटौला,48,पुरुष
75,झापा,2,नेपाल मजदुर किसान पार्टी,चन्द्र कुमारी गारु,50,महिला
76,झापा,2,मंगोल नेशनल अर्गनाइजेसन,अकल बहादुर तामाङ्ग,55,पुरुष
77,झापा,2,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,अमृता लावती,53,महिला
78,झापा,2,जनमत पार्टी,रमेश कुमार राजवंशी,41,पुरुष
79,झापा,2,राष्ट्रिय स्वतन्त्र पार्टी,इन्दिरा राना मगर,55,महिला
80,झापा,2,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),तिल बहादुर राई,38,पुरुष
81,झापा,2,नेपाली कम्युनिष्ट पार्टी,धर्माशिला चापागाई,53,महिला
82,झापा,2,नेपाल जनमुक्ति पार्टी,मान बहादुर पुलामी मगर,75,पुरुष
83,झापा,2,श्रम संस्कृति पार्टी,केशव कुमार भण्डारी,40,पुरुष
